CustomerID,Name,Email,Age,Country,SignupDate,LastLogin,TotalPurchase,Feedback,CartValue,DiscountApplied
e3e70682-c209-4cac-a29f-6fbed82c07cd,Edwin Mack,timothy14@ward.com,52.0,India,2023-10-18,2025-02-14 03:26:26,80.63,Excellent,196.06,50.0
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Kimberly Moore,brendagonzalez@atkins.org,75.0,United States,2025-02-28,2025-02-17 15:38:32,27.38,,136.79,0.0
eb1167b3-67a9-4378-bc65-c1e582e2e662,Kaitlin Gregory,velazquezanita@yahoo.com,30.0,Germany,2023-09-10,2025-02-01 15:53:26,817.67,Bad,239.65,20.0
f7c1bd87-4da5-4709-9471-3d60c8a70639,Crystal Gill,allentyler@hill-smith.com,40.0,United States,2022-05-23,2025-05-07 21:17:28,29.28,,291.47,10.0
e443df78-9558-467f-9ba9-1faf7a024204,William Martinez,jonesashley@gmail.com,54.0,United States,2024-09-12,2025-05-07 13:32:36,829.67,Average,265.4074297188755,15.0
23a7711a-8133-4876-b7eb-dcd9e87a1613,Amanda Scott,jvalencia@gmail.com,26.0,United States,2023-05-03,2025-01-22 01:08:41,196.14,Excellent,376.83,20.0
1846d424-c17c-4279-a3c6-612f48268673,Lauren Foster,juliacastillo@yahoo.com,77.0,India,2024-11-04,2025-01-23 15:42:25,820.41,Average,398.81,10.0
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,David Campbell,xsalazar@gmail.com,77.0,India,2023-08-31,2025-04-14 22:40:52,31.0,Bad,265.4074297188755,15.0
b4862b21-fb97-4435-8856-1712e8e5216a,Susan Larson,vincent73@hotmail.com,45.0,United States,2022-06-04,2025-03-08 00:47:59,998.49,Good,392.52,5.0
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Ricky Torres,castillokelly@yahoo.com,35.0,India,2024-02-16,2025-03-08 00:47:59,496.8964940239043,Good,137.32,20.0
5487ce1e-af19-422a-99b8-a714e61a441c,Joseph Wright,sarah25@perez-becker.biz,67.0,United States,2022-05-23,2025-01-29 05:41:01,186.13,Good,205.18,10.0
5a921187-19c7-4df4-8f4f-f31e78de5857,Carla Perry,kwhitney@hotmail.com,80.0,United States,2023-11-17,2025-02-27 11:14:25,327.15,,87.65,5.0
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Joseph Berry,fshaw@edwards.com,38.0,India,2022-05-23,2025-03-08 00:47:59,810.91,Average,200.45,10.0
8d723104-f773-43c1-b458-a748e9bb17bc,Kim Jenkins,ostewart@joyce-johnston.com,68.0,United States,2022-09-04,2025-03-11 13:57:40,488.12,Good,458.58,20.0
85776e9a-dd84-439e-b154-5a137a1d5006,Jennifer Osborne,bakerjessica@gmail.com,78.0,India,2023-10-09,2025-04-05 06:06:58,239.7,Bad,81.24,0.0
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Ebony Watson,lauradiaz@benton.biz,63.0,India,2023-07-25,2025-04-10 04:19:41,100.91,Average,162.07,10.0
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,Brooke Terry,darrenjacobs@miller.com,37.0,India,2023-11-05,2025-03-08 00:47:59,518.41,Excellent,265.4074297188755,10.0
b5d32b16-6619-4cb1-9710-37d1b83e90ec,Kevin Taylor,ljones@perez.biz,52.0,India,2022-10-20,2025-02-17 19:24:38,875.93,,181.82,0.0
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Heather Kennedy,grahampatrick@gmail.com,61.0,India,2023-08-26,2025-03-25 21:38:54,266.77,Excellent,66.62,10.0
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,John Neal,aguilarjane@yahoo.com,22.0,United States,2024-10-09,2025-01-29 22:49:08,422.08,Average,75.71,10.0
